주소,
전라남도 고흥군 도화면 더수연안길 322-11,
전라남도 보성군 벌교읍 징광리 산224,
전라북도 남원시 아영면 동갈길 90,
충청남도 공주시 의당면 의당길 188-6,
충청남도 예산군 고덕면 황금뜰로 417-79,
충청남도 천안시 서북구 성환읍 어룡리 356-3,
충남 청양군 청남면 인양리 750-13,
충청남도 예산군 대흥면 예당관광로 441-11,
제주특별자치도 제주시 한경면 낙조길 185-20,
경기도 파주시 탄현면 새오리로 309-113,
강원 인제군 북면 월학리 1830-1,
강원도 횡성군 횡성읍 정암길 73,
경상북도 칠곡군 지천면 소학로 333,
경상남도 의령군 지정면 기강로5길 172-70,
경상남도 창녕군 대합면 경남대로 5158,
전라남도 나주시 율정길 117-30 (대호동),
전라남도 고흥군 동강면 병풍1길 50,
전라남도 영암군 도포면 원산로 91,
광주광역시 북구 장등동 935,
충청남도 서천군 서천읍 동산길286번길 26-10,
충청남도 예산군 대술면 화산망실길 102,
충청남도 예산군 신암면 안뜸송정길 70-35,
충청남도 태안군 안면읍 등마루1길 191-23,
충청남도 홍성군 장곡면 무한로749번길 205-70,
충청북도 괴산군 불정면 신흥6길 136,
충청북도 제천시 청풍면 용곡길 97-28,
경기도 이천시 모가면 진상미로1162번길 254-30,
제주특별자치도 서귀포시 대정읍 보성리 1525-5,
전라남도 함평군 손불면 석산로 104-38,
강원 원주시 부론면 정산리 643-2,
충청남도 공주시 큰말1길 19-20 (송선동),
경기도 여주시 강천면 원심동2길 100,
전라남도 화순군 백아면 서유길 59-10,
경상북도 경주시 산내면 소태길 22-32,
경상북도 포항시 남구 장기면 장기로878번길 31,
전라남도 고흥군 동강면 동강덕촌길 64-173,
전남 해남군 화원면 장춘리 93,
충청남도 서천군 장항읍 옥산길 101-29,
충청남도 태안군 원북면 두웅로 88-43,
경기도 광주시 남한산성면 상번천리 138,
경기도 연천군 군남면 옥계13길 162,
경북 김천시 남면 부상리 697-4,
경상북도 성주군 용암면 중부내륙고속도로 74,
경상북도 청도군 각남면 칠성길 144-105[*미고시],
경상남도 거창군 남상면 둔동리 산72-4,
경상남도 김해시 삼안로112번길 20-117 (안동),
전라남도 곡성군 옥과면 설옥길 50-76,
전라남도 보성군 득량면 구룡길 5-74,
전라남도 신안군 지도읍 봉리길 925-36,
전라북도 김제시 공덕면 회룡리 553,
충청남도 공주시 계룡면 구부내로 536,
충청남도 당진시 합덕읍 석우리 1219,
충청남도 서산시 지곡면 도성2길 96-8,
충청남도 태안군 소원면 종대길 12-55,
충북 단양군 적성면 파랑리 산 82-4,
충청북도 옥천군 청성면 고당로 162-37,
충청북도 진천군 덕산읍 초금로 929,
충청북도 청주시 서원구 남이면 팔봉리 178,
전라남도 영광군 법성면 용성리 617,
강원도 강릉시 옥계면 낙풍리 산295,
충청남도 금산군 제원면 길곡길 76-2,
제주특별자치도 제주시 한경면 판포중2길 21-76,
전남 곡성군 죽곡면 삼태리 46-1,
전남 해남군 해남읍 내사리 938-1,
전라남도 신안군 자은면 자은서부2길 595,
충청남도 공주시 신풍면 무르실길 143-11,
충청북도 옥천군 이원면 이원심천로 155,
충청북도 옥천군 청성면 거포1길 81-70,
강원도 원주시 문막읍 황효자길 47-20,
충북 충주시 주덕읍 덕련리 209,
강원도 횡성군 갑천면 하대리 348,
경상북도 청도군 각남면 구곡길 97,
충청남도 공주시 의당면 신촌길 173,
충청북도 청주시 상당구 가덕면 계산1길 131-23,
경상남도 합천군 야로면 하빈2길 83,
충청남도 아산시 신창면 오목길 87-78,
충청남도 예산군 삽교읍 가리 65-1,
강원도 평창군 대화면 선애길 169-67,
경상북도 봉화군 물야면 생달길 206-147,
경상남도 하동군 화개면 용강길 23-57,
전라남도 함평군 나산면 월신길 324-48,
전라북도 무주군 안성면 덕유산로 646-7,
전라북도 순창군 쌍치면 국사봉로 535-29,
충청남도 당진시 신평면 서해로 7404-51,
충청남도 서산시 고북면 창동마을길 69-60,
충북 단양군 영춘면 의풍리 902-1,
충북 충주시 주덕읍 대곡리 849,
충청북도 충주시 금가면 마사2길 71,
전라남도 함평군 해보면 올림픽로 973,
전남 담양군 무정면 성도리 120,
전라남도 영광군 묘량면 황량로 369-12,
전라북도 순창군 팔덕면 신덕길 44-81,
전북 순창군 금과면 목동리 1007,
전북 순창군 동계면 구미리 145,
전라북도 남원시 덕과면 고정리 419,
충청남도 공주시 사곡면 계실길 329,
충청남도 천안시 동남구 동면 덕성3길 110,
제주특별자치도 서귀포시 남원읍 신흥고수로 447,
강원 춘천시 사북면 지촌리 31-1,
강원도 춘천시 신북읍 발산리 1072,
경상북도 경주시 양남면 억수길 31-19,
경상북도 봉화군 명호면 고감길 112-1,
경상북도 상주시 모동면 덕곡2길 28-16,
경상북도 영천시 금호읍 칠백로 436-88,
경상북도 포항시 남구 오천읍 기림로1746번길 66,
경상남도 함양군 병곡면 병곡지곡로 312-55,
인천 계양구 만봉길 65,
인천광역시 강화군 길상면 길상로148번길 84,
인천 옹진군 영흥면 선재리 521-33,
광주광역시 남구 월성동 713-18,
전라북도 김제시 공덕면 공덕리 1184,
세종특별자치시 연동면 샘째길 16-19,
충청남도 서산시 부석면 가사고살미길 61-5,
충청남도 서산시 팔봉면 진장2길 78-29,
충청남도 천안시 동남구 목천읍 교촌1길 104-36,
충청남도 홍성군 갈산면 내포로 1466-48,
충청북도 보은군 보은읍 종곡2길 106,
부산광역시 기장군 일광면 해빛2로 21,
강원 영월군 주천면 평창강모란길 58-15,
울산광역시 울주군 범서읍 서사리 908-3,
충남 홍성군 은하면 유송리 416-3,
충청북도 충주시 동량면 대전리2길 112,
충북 괴산군 불정면 지장리 978,
전라남도 신안군 지도읍 지도증도로 264-30,
강원도 홍천군 화촌면 솔치길 47,
전남 장성군 동화면 구림리 618-1,
전라북도 순창군 쌍치면 쌍계리 533,
대전 유성구 성북동 633-3,
충청남도 논산시 양촌면 충곡로 582-27,
충청남도 서산시 대산읍 광암2길 208-60,
충청북도 청주시 흥덕구 강내면 저산태성로 40-30,
충청북도 충주시 앙성면 모점3길 93-37,
경상남도 밀양시 상동면 상동로 1117-24,
강원도 평창군 방림면 서동로 318-26,
경기도 안성시 일죽면 소라태길 105-41,
제주특별자치도 제주시 한림읍 개오기길 181-1,
전라남도 장성군 동화면 본동로 803-53,
전북 군산시 서수면 서수리 1899,
충청남도 논산시 채운면 채운로143번길 33-48,
충청남도 당진시 송악읍 농장길 67-11,
충청남도 천안시 동남구 목천읍 운전1길 44,
충청북도 보은군 삼승면 원남장암로 86-9,
충청남도 금산군 추부면 한사래길 5-30,
경상북도 청도군 화양읍 삼신리 1130-4,
충청북도 제천시 수산면 월악로 2968,
충북 괴산군 연풍면 삼풍리 477-1,
경기도 양평군 강상면 병산리 91,
경상남도 밀양시 삼랑진읍 검세1길 15-60,
경상남도 하동군 양보면 통정리 497-2,
부산광역시 기장군 정관읍 월평1길 65-78,
전라남도 곡성군 목사동면 용봉길 91-132,
전라남도 곡성군 오산면 가곡길 189-142,
전라북도 고창군 흥덕면 수침길 32-60,
전라북도 김제시 용지면 용암리 34-23,
전라북도 김제시 용지면 용암리 34-31,
전라북도 김제시 용지면 용암리 34-39,
충남 청양군 청남면 왕진리 893-4,
충청남도 당진시 용연로 208-45 (용연동),
충청남도 보령시 미산면 봉성길 232,
충청북도 괴산군 사리면 화산재로3길 33-42,
경기도 평택시 팽성읍 노와1길 92-45,
경기도 용인시 처인구 남사면 완장천로 232,
강원도 평창군 대화면 비창길 101,
강원도 평창군 방림면 계촌리 2178-3,
전라남도 고흥군 도덕면 상하길 150-73,
충청남도 공주시 우성면 동대리 12-3,
충청북도 괴산군 청안면 문당2길 112,
부산광역시 강서구 가락대로 394 (송정동),
강원도 홍천군 내촌면 논골길 17-15,
